cat,medcodeid,aurumterm,disease_num,score
Any malignancy,289582012,"reticulosarcoma of lymph nodes of head, face and neck",11,2
Any malignancy,711111000006117,"melanoma in situ of lower limb, including hip",11,2
Any malignancy,711081000006111,melanoma in situ of ear and external auricular canal,11,2
Any malignancy,340561000006114,[v]folow-up exam aft unspec treatment for malignant neoplasm,11,2
Any malignancy,335843013,melanoma in situ of skin,11,2
Any malignancy,1786811017,malignant neoplasm of urinary bladder,11,2
Any malignancy,307821000006112,[m]embryonal rhabdomyosarcoma,11,2
Any malignancy,724891000006113,malignant neoplasm of lip,11,2
Any malignancy,289193017,malignant neoplasm of isthmus of uterine body,11,2
Any malignancy,290838018,carcinoma in situ of skin of upper arm,11,2
Any malignancy,291434017,[m]villous adenomas and adenocarcinomas,11,2
Any malignancy,153187010,carcinoma in situ of hepatic flexure of colon,11,2
Any malignancy,290835015,carcinoma in situ of skin of trunk nos,11,2
Any malignancy,289885019,adult t-cell leukaemia,11,2
Any malignancy,153345016,carcinoma in situ of skin of perineum,11,2
Any malignancy,2168431000000112,nodular lymphocyte predominant hodgkin lymphoma,11,2
Any malignancy,309131000006114,"[m]giant cell tumour of bone, malignant",11,2
Any malignancy,290825014,"carcinoma in situ of skin of trunk, excluding scrotum",11,2
Any malignancy,403755011,[m]osteomas and osteosarcomas,11,2
Any malignancy,289048011,malignant melanoma of thigh,11,2
Any malignancy,290818019,carcinoma in situ of skin of temple,11,2
Any malignancy,289705014,hodgkin's disease nos of intrathoracic lymph nodes,11,2
Any malignancy,1230709016,[m]adenocarcinoma in situ in villous adenoma,11,2
Any malignancy,289345019,malignant neoplasm of thalamus,11,2
Any malignancy,1216362010,[v]personal history of monocytic leukaemia,11,2
Any malignancy,290792013,carcinoma in situ of middle lobe bronchus and lung,11,2
Any malignancy,312051000006110,"[m]malignant tumour, fusiform cell type",11,2
Any malignancy,313131000006113,[m]mucoepidermoid carcinoma,11,2
Any malignancy,153320019,carcinoma in situ of skin of buttock,11,2
Any malignancy,729421000006113,malig neop of connective and soft tissue of lower leg,11,2
Any malignancy,153239014,carcinoma in situ of main bronchus,11,2
Any malignancy,289001014,malignant neoplasm of connective and soft tissue of perineum,11,2
Any malignancy,289847017,malignant lymphoma nos of lymph nodes of multiple sites,11,2
Any malignancy,725761000006111,malignant neoplasm of genitourinary organ os,11,2
Any malignancy,1232066010,[m]adenocarcinoma in situ in adenomatous polyp,11,2
Any malignancy,721171000006119,malignant neoplasm of testis,11,2
Any malignancy,153272014,carcinoma in situ of pancreas,11,2
Any malignancy,380094018,"carcinoma of bone, connective tissue, skin and breast",11,2
Any malignancy,309061000006116,[m]giant cell and spindle cell carcinoma,11,2
Any malignancy,722981000006114,malignant neoplasm of pituitary gland,11,2
Any malignancy,290768017,carcinoma in situ of hepatic duct,11,2
Any malignancy,153200017,carcinoma in situ of intrahepatic bile ducts,11,2
Any malignancy,81441000006112,unspec malig neop lymphoid/histiocytic of intrapelvic nodes,11,2
Any malignancy,535331000006115,carcinoma in situ of biliary system,11,2
Any malignancy,288694017,malignant neoplasm of interlobular bile ducts,11,2
Any malignancy,711121000006113,melanoma in situ of other and unspecified parts of face,11,2
Any malignancy,1208876015,malignant neoplasm of eye,11,2
Any malignancy,288784017,malignant neoplasm of tympanic cavity,11,2
Any malignancy,316831000006110,[m]spinous cell carcinoma,11,2
Any malignancy,157081013,mycosis fungoides of spleen,11,2
Any malignancy,289158012,malignant neoplasm of ectopic site of male breast,11,2
Any malignancy,289318015,malignant neoplasm of extraocular muscle of orbit,11,2
Any malignancy,312291000006112,[m]melanosarcoma nos,11,2
Any malignancy,155533012,malignant neoplasm of skin of finger,11,2
Any malignancy,289259011,malignant neoplasm of other male genital organ nos,11,2
Any malignancy,153296016,carcinoma in situ of pyloric antrum,11,2
Any malignancy,315221000006118,[m]periosteal osteogenic sarcoma,11,2
Any malignancy,153321015,carcinoma in situ of skin of cheek,11,2
Any malignancy,290732010,carcinoma in situ of oesophagus nos,11,2
Any malignancy,288744014,malignant neoplasm of retroperitoneum nos,11,2
Any malignancy,290784016,carcinoma in situ of vestibular fold,11,2
Any malignancy,289628017,hodgkin's granuloma of unspecified site,11,2
Any malignancy,311636018,pseudosarcomatous fibromatosis,11,2
Any malignancy,81451000006114,unspec malig neop lymphoid/histiocytic of intrathoracic node,11,2
Any malignancy,510029018,carcinoma in situ of cheek,11,2
Any malignancy,289361017,malignant neoplasm of corpus callosum,11,2
Any malignancy,201638010,carcinoma in situ of caecum,11,2
Any malignancy,288935017,malignant neoplasm of long bones of leg nos,11,2
Any malignancy,153229015,carcinoma in situ of lip,11,2
Any malignancy,312041000006113,"[m]malignant teratoma, undifferentiated type",11,2
Any malignancy,94699019,lymphoma stage iii,11,2
Any malignancy,289987014,malignant neoplasm lymphatic or haematopoietic tissue nos,11,2
Any malignancy,458201000006115,acute myelomonocytic leukaemia,11,2
Any malignancy,826641000006114,hodgkin's nodular sclerosis of intrapelvic lymph nodes,11,2
Any malignancy,291364014,[m]transitional cell papilloma or carcinoma nos,11,2
Any malignancy,312851000006119,[m]mixed epithelioid and spindle melanoma,11,2
Any malignancy,201652012,chronic lymphoid leukaemia,11,2
Any malignancy,400011000006119,[x]non-hodgkin's lymphoma nos,11,2
Any malignancy,308291000006112,"[m]epithelioma, malignant",11,2
Any malignancy,289337012,malignant neoplasm of basal ganglia,11,2
Any malignancy,289949018,megakaryocytic leukaemia,11,2
Any malignancy,621041000006116,diffuse non-hodgkin mixed sml & lge cell (diffuse) lymphoma,11,2
Any malignancy,289889013,lymphoid leukaemia nos,11,2
Any malignancy,289933015,monocytic leukaemia nos,11,2
