prodcodeid,category,also_0303cromo
"137641000033117","ics",""
"585641000033110","ics",""
"1144341000033117","ics",""
"2873241000033118","ics",""
"586341000033110","ics",""
"121641000033112","ics",""
"1143141000033118","ics",""
"12901541000033117","ics",""
"171741000033119","ics",""
"4815041000033111","ics",""
"3943641000033117","ics",""
"2873041000033114","ics",""
"3082041000033116","ics",""
"586241000033117","ics",""
"585941000033115","ics",""
"5393441000033112","ics",""
"576741000033118","ics",""
"591041000033118","ics",""
"3081941000033110","ics",""
"3871541000033110","ics",""
"2725641000033115","ics",""
"83941000033119","ics",""
"3082941000033115","ics",""
"1144941000033118","ics",""
"1571041000033110","ics",""
"2726041000033117","ics",""
"3080741000033119","ics",""
"1571441000033118","ics",""
"576841000033111","ics",""
"5811541000033113","ics",""
"171341000033115","ics",""
"136941000033110","ics",""
"2067841000033116","ics",""
"20141000033118","ics",""
"577141000033115","ics",""
"129941000033116","ics",""
"3083041000033113","ics",""
"591341000033116","ics",""
"3081041000033114","ics",""
"3081341000033111","ics",""
"163741000033113","ics",""
"2725841000033119","ics",""
"163841000033115","ics",""
"124041000033116","ics",""
"3872041000033110","ics",""
"126641000033118","ics",""
"1670741000033111","ics",""
"585841000033111","ics",""
"581341000033117","ics",""
"2725741000033112","ics",""
"3227641000033114","ics",""
"1914441000033118","ics",""
"1914841000033115","ics",""
"131441000033112","ics",""
"2873341000033111","ics",""
"5811441000033112","ics",""
"3082341000033119","ics",""
"3256441000033113","ics",""
"3080441000033114","ics",""
"581941000033118","ics",""
"136741000033112","ics",""
"2725941000033110","ics",""
"2623141000033115","ics",""
"12901341000033112","ics",""
"3141341000033112","ics",""
"123841000033114","ics",""
"12901641000033116","ics",""
"137741000033114","ics",""
"1914341000033112","ics",""
"137841000033116","ics",""
"1143041000033117","ics",""
"4823341000033115","ics",""
"20341000033115","ics",""
"581741000033116","ics",""
"3082441000033113","ics",""
"1914941000033111","ics",""
"591241000033114","ics",""
"2872941000033116","ics",""
"129141000033118","ics",""
"3227741000033117","ics",""
"83841000033110","ics",""
"1914641000033116","ics",""
"3227541000033113","ics",""
"1571141000033114","ics",""
"590941000033111","ics",""
"123341000033117","ics",""
"12530441000033112","ics",""
"3081241000033118","ics",""
"3942941000033118","ics",""
"576141000033117","ics",""
"3081441000033117","ics",""
"2725541000033116","ics",""
"1671141000033117","ics",""
"1670841000033118","ics",""
"126941000033113","ics",""
"3082141000033117","ics",""
"136641000033115","ics",""
"174541000033113","ics",""
"3199341000033119","ics",""
"129041000033117","ics",""
"1144241000033110","ics",""
"3080641000033111","ics",""
"4815341000033113","ics",""
"137041000033111","ics",""
"20241000033113","ics",""
"171241000033113","ics",""
"581841000033114","ics",""
"126841000033117","ics",""
"3141441000033118","ics",""
"3267641000033115","ics",""
"3871641000033111","ics",""
"1671341000033119","ics",""
"2623341000033117","ics",""
"1145341000033116","ics",""
"577241000033110","ics",""
"1144841000033114","ics",""
"3943041000033111","ics",""
"1915041000033111","ics",""
"586141000033112","ics",""
"3256341000033119","ics",""
"129341000033115","ics",""
"5811241000033111","ics",""
"3267741000033112","ics",""
"3081841000033119","ics",""
"3082741000033118","ics",""
"2798441000033118","ics",""
"139841000033114","ics",""
"131641000033114","ics",""
"126741000033110","ics",""
"5811341000033118","ics",""
"123241000033110","ics",""
"129241000033113","ics",""
"2873141000033113","ics",""
"4815241000033115","ics",""
"5393341000033118","ics",""
"3082641000033110","ics",""
"591441000033110","ics",""
"174641000033114","ics",""
"3343041000033119","ics",""
"1577941000033118","ics",""
"3227441000033112","ics",""
"3082241000033112","ics",""
"12530541000033113","ics",""
"1671041000033116","ics",""
"3943441000033119","ics",""
"2798341000033112","ics",""
"576341000033119","ics",""
"581441000033111","ics",""
"3871841000033112","ics",""
"3871941000033116","ics",""
"3943341000033113","ics",""
"1671241000033112","ics",""
"3081641000033115","ics",""
"4815141000033110","ics",""
"576241000033112","ics",""
"581241000033110","ics",""
"586041000033113","ics",""
"2872741000033119","ics",""
"138041000033110","ics",""
"1579941000033112","ics",""
"590841000033115","ics",""
"585741000033118","ics",""
"137241000033115","ics",""
"1579841000033116","ics",""
"577041000033119","ics",""
"2872841000033112","ics",""
"3871741000033119","ics",""
"129841000033112","ics",""
"12901441000033118","ics",""
"136141000033113","ics",""
"591141000033119","ics",""
"3082541000033114","ics",""
"3199241000033112","ics",""
"577441000033111","ics",""
"136041000033114","ics",""
"2067741000033114","ics",""
"1571241000033119","ics",""
"2067641000033117","ics",""
"576941000033115","ics",""
"591541000033111","ics",""
"3080541000033110","ics",""
"2726141000033118","ics",""
"171641000033111","ics",""
"3082841000033111","ics",""
"2067541000033118","ics",""
"3081741000033112","ics",""
"123441000033111","ics",""
"4823241000033113","ics",""
"1914541000033117","ics",""
"1145241000033114","ics",""
"3081541000033116","ics",""
"2148541000033119","ics",""
"3081141000033113","ics",""
"1914741000033113","ics",""
"2623241000033110","ics",""
"2148441000033115","ics",""
"1145141000033119","ics",""
"123941000033118","ics",""
"1670941000033114","ics",""
"3942841000033114","ics",""
"2872641000033111","ics",""
"9299441000033113","laba",""
"599641000033111","laba",""
"1914141000033114","laba",""
"4063341000033111","laba",""
"5140141000033111","laba",""
"1268941000033117","laba",""
"1914241000033119","laba",""
"13178941000033117","laba",""
"9299341000033119","laba",""
"5707241000033115","laba",""
"1022441000033111","laba",""
"11782841000033117","laba",""
"1205941000033113","laba",""
