medcodeid,snomedctdescriptionid,snomedctconceptid,originalreadcode,cleansedreadcode,observations,term,emiscodecategoryid,aecopd_breathlessness,copd_chronic_breathlessness
2002191000006110,2.66701E+15,1.06099E+15,EMISNQMR1,,30,MRC (Medical Research Council) Breathlessness Scale grade 5a,Symptoms and Findings,0,1
2002201000006110,2.66703E+15,1.061E+15,EMISNQMR2,,10,MRC (Medical Research Council) Breathlessness Scale grade 5b,Symptoms and Findings,0,1
2730821000000110,2.73082E+15,1.08998E+15,^ESCT1171834,,1,eMRC (extended Medical Research Council) dyspnoea scale grade 2,Symptoms and Findings,0,1
2730841000000110,2.73084E+15,1.08999E+15,^ESCT1171835,,2,eMRC (extended Medical Research Council) dyspnoea scale grade 3,Symptoms and Findings,0,1
2730861000000110,2.73086E+15,1.09E+15,^ESCT1171836,,2,eMRC (extended Medical Research Council) dyspnoea scale grade 5a,Symptoms and Findings,0,1
2730881000000110,2.73088E+15,1.09001E+15,^ESCT1171837,,3,eMRC (extended Medical Research Council) dyspnoea scale grade 4,Symptoms and Findings,0,1
12117611000006100,2.75229E+15,1.09938E+15,^ESCT1211761,,50,mMRC (modified Medical Research Council) dyspnoea scale grade 1,Symptoms and Findings,0,1
12117621000006100,2.75231E+15,1.09939E+15,^ESCT1211762,,60,mMRC (modified Medical Research Council) dyspnoea scale grade 2,Symptoms and Findings,0,1
12117631000006100,2.75233E+15,1.0994E+15,^ESCT1211763,,90,mMRC (modified Medical Research Council) dyspnoea scale grade 3,Symptoms and Findings,0,1
12117641000006100,2.75235E+15,1.09941E+15,^ESCT1211764,,20,mMRC (modified Medical Research Council) dyspnoea scale grade 4,Symptoms and Findings,0,1
252385016,252385016,161939006,1732,1732,600000,Breathless - moderate exertion,Symptoms and Findings,0,1
252386015,252386015,161940008,1733,1733,500000,Breathless - mild exertion,Symptoms and Findings,0,1
252387012,252387012,161941007,1734,1734,60000,Breathless - at rest,Symptoms and Findings,0,1
4545441000006110,252388019,161941007,^ESCTSO454544,,900,SOBAR - Shortness of breath at rest,Symptoms and Findings,0,1
4545421000006110,252389010,161941007,^ESCTDY454542,,8000,Dyspnoea at rest,Symptoms and Findings,1,1
253889014,253889014,162890008,2322,2322,30000,O/E - dyspnoea,Symptoms and Findings,1,0
253892013,253892013,162892000,2324,2324,9000,O/E - respiratory distress,Symptoms and Findings,1,0
1807841000006110,1.80784E+15,1.80784E+15,EMISNQOE22,,200,O/E - dyspnoea at rest,Symptoms and Findings,1,0
1807851000006110,1.80785E+15,1.80785E+15,EMISNQOE23,,500,O/E - dyspnoea on exertion,Symptoms and Findings,0,1
1970561000006110,1.97056E+15,1.97056E+15,EMISNQCO271,,20000,COPD assessment test score - breathless walking up hill/stairs,Diagnostics,0,1
344917018,344917018,230145002,1738,1738,400000,Difficulty breathing,Symptoms and Findings,1,1
5004081000006110,344919015,230145002,^ESCTDI500408,,200,DIB - Difficulty in breathing,Symptoms and Findings,1,0
371012016,371012016,248548009,173D,173D.00,8000,Nocturnal dyspnoea,Symptoms and Findings,0,1
5497731000006110,397885013,267036007,^ESCTDY549773,,20,Dyspnea,Symptoms and Findings,0,1
525741000006111,397886014,267036007,173-1,173..11,200000,Breathlessness symptom,Symptoms and Findings,1,1
633381000006111,397886014,267036007,173-2,173..12,100000,Dyspnoea - symptom,Symptoms and Findings,1,1
140461000006116,397886014,267036007,173-3,173..13,2000000,Dyspnoea,Symptoms and Findings,0,1
317395018,397886014,267036007,R060A,R060A00,200000,[D]Dyspnoea,Symptoms and Findings,1,0
5497741000006110,397887017,267036007,^ESCTBR549774,,200,Breathless,Symptoms and Findings,1,0
397888010,397888010,267036007,173,173..00,1000000,Breathlessness,Symptoms and Findings,1,1
252412011,397888010,267036007,173Z,173Z.00,40000,Breathlessness NOS,Symptoms and Findings,1,1
451467013,397888010,267036007,R060D,R060D00,70000,[D]Breathlessness,Symptoms and Findings,1,0
5497761000006110,397889019,267036007,^ESCTSO549776,,200,SOB - Shortness of breath,Symptoms and Findings,1,1
397890011,397890011,267036007,1739,1739,800000,Shortness of breath,Symptoms and Findings,0,1
317392015,397890011,267036007,R0608,R060800,400000,[D]Shortness of breath,Symptoms and Findings,1,0
5529941000006110,1490286012,271823003,^ESCTTA552994,,6,Tachypnoeic,"Conditions, operations and procedures",1,0
5529951000006110,1490518017,271823003,^ESCTTA552995,,2,Tachypneic,"Conditions, operations and procedures",1,0
11905791000006100,406796019,271823003,^ESCT1190579,,3,Tachypnea,"Conditions, operations and procedures",1,0
5529931000006110,406798018,271823003,^ESCTRA552993,,60,Rapid breathing,"Conditions, operations and procedures",1,0
317386014,406799014,271823003,R0603,R060300,8000,Tachypnoea,"Conditions, operations and procedures",1,0
